Date,Time,Lat,Lon,Depth,Mag
1996/06/10, 15:24:56.00,  51.4780, -176.8470,  26.30,  7.30
1996/06/11, 18:22:55.73,  12.6140,  125.1540,  33.00,  7.10
1996/06/17, 11:22:18.54,  -7.1370,  122.5890, 587.30,  7.90
1996/06/21, 13:57:10.02,  51.5680,  159.1190,  20.00,  7.00
1996/07/22, 14:19:35.77,   1.0000,  120.4500,  33.00,  7.00
1996/08/05, 22:38:22.09, -20.6900, -178.3100, 550.20,  7.40
1996/10/19, 14:44:40.79,  31.8850,  131.4680,  22.00,  7.00
1996/11/12, 16:59:44.03, -14.9930,  -75.6750,  33.00,  7.70
1997/01/11, 20:28:26.02,  18.2190, -102.7560,  33.00,  7.20
1997/01/23, 02:15:22.97, -21.9990,  -65.7190, 276.20,  7.10
1997/02/27, 21:08:02.36,  29.9760,   68.2080,  33.00,  7.10
1997/04/21, 12:02:26.43, -12.5840,  166.6760,  33.00,  7.80
1997/05/10, 07:57:29.72,  33.8250,   59.8090,  10.00,  7.30
1997/05/25, 23:22:33.19, -32.1150,  179.7910, 332.70,  7.10
1997/07/09, 19:24:13.17,  10.5980,  -63.4860,  19.90,  7.00
1997/09/20, 16:11:32.15, -28.6830, -177.6240,  30.00,  7.00
1997/10/14, 09:53:18.15, -22.1010, -176.7720, 167.30,  7.80
1997/10/15, 01:03:33.46, -30.9330,  -71.2200,  58.00,  7.10
1997/10/28, 06:15:17.33,  -4.3680,  -76.6810, 112.00,  7.20
1997/11/08, 10:02:52.61,  35.0690,   87.3250,  33.00,  7.50
1997/11/15, 18:59:24.30, -15.1450,  167.3750, 123.10,  7.00
1997/11/25, 12:14:33.63,   1.2410,  122.5360,  24.00,  7.00
1997/12/05, 11:26:54.69,  54.8410,  162.0350,  33.00,  7.80
1997/12/22, 02:05:50.08,  -5.4950,  147.8670, 179.30,  7.20
1998/01/04, 06:11:58.97, -22.3010,  170.9110, 100.60,  7.50
1998/01/30, 12:16:08.69, -23.9130,  -70.2070,  42.00,  7.10
1998/03/25, 03:12:25.07, -62.8770,  149.5270,  10.00,  8.10
1998/03/29, 19:48:16.21, -17.5520, -179.0920, 537.20,  7.20
1998/04/01, 17:56:23.36,  -0.5440,   99.2610,  55.70,  7.00
1998/05/03, 23:30:21.91,  22.3060,  125.3080,  33.00,  7.50
1998/07/16, 11:56:36.42, -11.0400,  166.1600, 110.20,  7.00
1998/07/17, 08:49:13.28,  -2.9610,  141.9260,  10.00,  7.00
1998/08/04, 18:59:20.10,  -0.5930,  -80.3930,  33.00,  7.20
1998/08/20, 06:40:55.82,  28.9320,  139.3290, 440.50,  7.10
1998/11/09, 05:38:44.22,  -6.9200,  128.9460,  33.00,  7.00
1998/11/29, 14:10:31.96,  -2.0710,  124.8910,  33.00,  7.70
1999/01/19, 03:35:33.84,  -4.5960,  153.2350, 114.10,  7.00
1999/02/06, 21:47:59.47, -12.8530,  166.6970,  90.10,  7.30
1999/03/04, 08:52:01.90,   5.3970,  121.9370,  33.00,  7.10
1999/03/08, 12:25:48.99,  52.0560,  159.5200,  56.60,  7.00
1999/03/31, 05:54:42.13,   5.8270,  -82.6160,  10.00,  7.00
1999/04/05, 11:08:04.00,  -5.5910,  149.5680, 150.00,  7.40
1999/04/08, 13:10:34.08,  43.6070,  130.3500, 565.70,  7.10
1999/05/10, 20:33:02.09,  -5.1590,  150.8800, 138.00,  7.10
1999/05/16, 00:51:20.46,  -4.7510,  152.4860,  73.70,  7.10
1999/06/15, 20:42:05.93,  18.3860,  -97.4360,  70.00,  7.00
1999/08/17, 00:01:39.13,  40.7480,   29.8640,  17.00,  7.70
1999/09/20, 17:47:18.49,  23.7720,  120.9820,  33.00,  7.70
1999/09/30, 16:31:15.69,  16.0590,  -96.9310,  60.60,  7.50
1999/10/16, 09:46:44.17,  34.5952, -116.2698,   0.15,  7.10
1999/11/12, 16:57:19.55,  40.7580,   31.1610,  10.00,  7.20
1999/11/15, 05:42:43.22,  -1.3390,   88.9760,  10.00,  7.00
1999/11/17, 03:27:42.08,  -5.9780,  148.8200,  47.50,  7.00
1999/11/19, 13:56:46.45,  -6.3510,  148.7630,  33.00,  7.00
1999/11/26, 13:21:15.57, -16.4230,  168.2140,  33.00,  7.50
1999/12/11, 18:03:36.45,  15.7660,  119.7400,  33.00,  7.30
2000/01/08, 16:47:20.58, -16.9250, -174.2480, 183.40,  7.20
2000/02/25, 01:43:58.64, -19.5280,  173.8180,  33.00,  7.10
2000/03/28, 11:00:22.51,  22.3380,  143.7300, 126.50,  7.60
2000/04/23, 09:27:23.32, -28.3070,  -62.9900, 608.50,  7.00
2000/05/04, 04:21:16.21,  -1.1050,  123.5730,  26.00,  7.60
2000/05/12, 18:43:18.12, -23.5480,  -66.4520, 225.00,  7.20
2000/06/04, 16:28:26.17,  -4.7210,  102.0870,  33.00,  7.90
2000/06/18, 14:44:13.31, -13.8020,   97.4530,  10.00,  7.90
2000/07/16, 03:57:45.56,  -7.7470,  150.9170,  10.00,  7.30
2000/08/06, 07:27:12.90,  28.8560,  139.5560, 394.80,  7.40
2000/10/04, 16:58:44.31, -15.4210,  166.9100,  23.00,  7.00
2000/10/29, 08:37:08.77,  -4.7660,  153.9450,  50.00,  7.00
2000/11/16, 04:54:56.74,  -3.9800,  152.1690,  33.00,  8.00
2000/11/16, 07:42:16.93,  -5.2330,  153.1020,  30.00,  7.80
2000/11/17, 21:01:56.49,  -5.4960,  151.7810,  33.00,  7.80
2000/12/06, 17:11:06.40,  39.5660,   54.7990,  30.00,  7.00
2001/01/01, 06:57:04.17,   6.8980,  126.5790,  33.00,  7.50
2001/01/09, 16:49:28.00, -14.9280,  167.1700, 103.00,  7.10
2001/01/13, 17:33:32.38,  13.0490,  -88.6600,  60.00,  7.70
2001/01/26, 03:16:40.50,  23.4190,   70.2320,  16.00,  7.70
2001/02/13, 19:28:30.26,  -4.6800,  102.5620,  36.00,  7.40
2001/02/24, 07:23:48.73,   1.2710,  126.2490,  35.00,  7.10
2001/06/03, 02:41:57.16, -29.6660, -178.6330, 178.10,  7.20
2001/06/23, 20:33:14.13, -16.2650,  -73.6410,  33.00,  8.40
2001/07/07, 09:38:43.52, -17.5430,  -72.0770,  33.00,  7.60
2001/08/21, 06:52:06.25, -36.8130, -179.5750,  33.00,  7.10
2001/10/12, 15:02:16.84,  12.6860,  144.9800,  37.00,  7.00
2001/10/19, 03:28:44.46,  -4.1020,  123.9070,  33.00,  7.50
2001/10/31, 09:10:20.00,  -5.9120,  150.1960,  33.00,  7.00
2001/11/14, 09:26:10.01,  35.9460,   90.5410,  10.00,  7.80
2001/12/12, 14:02:35.04, -42.8130,  124.6880,  10.00,  7.10
2002/01/02, 17:22:48.76, -17.6000,  167.8560,  21.00,  7.20
2002/03/03, 12:08:19.74,  36.5020,   70.4820, 225.60,  7.40
2002/03/05, 21:16:09.13,   6.0330,  124.2490,  31.00,  7.50
2002/03/31, 06:52:50.49,  24.2790,  122.1790,  32.80,  7.10
2002/04/26, 16:06:07.00,  13.0880,  144.6190,  85.70,  7.10
2002/06/28, 17:19:30.27,  43.7520,  130.6660, 566.00,  7.30
2002/08/19, 11:01:01.19, -21.6960, -179.5130, 580.00,  7.70
2002/08/19, 11:08:24.31, -23.8840,  178.4950, 675.40,  7.70
2002/09/08, 18:44:23.71,  -3.3020,  142.9450,  13.00,  7.60
2002/10/10, 10:50:20.57,  -1.7570,  134.2970,  10.00,  7.60
2002/11/02, 01:26:10.70,   2.8240,   96.0850,  30.00,  7.40
2002/11/03, 22:12:41.52,  63.5141, -147.4529,   4.20,  7.90
2002/11/17, 04:53:53.54,  47.8240,  146.2090, 459.10,  7.30
2003/01/20, 08:43:06.07, -10.4910,  160.7700,  33.00,  7.30
2003/01/22, 02:06:34.61,  18.7700, -104.1040,  24.00,  7.60
2003/03/17, 16:36:17.31,  51.2720,  177.9780,  33.00,  7.10
2003/05/26, 09:24:33.40,  38.8490,  141.5680,  68.00,  7.00
2003/05/26, 19:23:27.94,   2.3540,  128.8550,  31.00,  7.00
2003/06/20, 06:19:38.91,  -7.6060,  -71.7220, 558.10,  7.10
2003/07/15, 20:27:50.53,  -2.5980,   68.3820,  10.00,  7.60
2003/08/04, 04:37:20.13, -60.5320,  -43.4110,  10.00,  7.60
2003/08/21, 12:12:49.79, -45.1040,  167.1440,  28.00,  7.20
2003/09/25, 19:50:06.36,  41.8150,  143.9100,  27.00,  8.30
2003/09/25, 21:08:00.03,  41.7740,  143.5930,  33.00,  7.40
2003/09/27, 11:33:25.08,  50.0380,   87.8130,  16.00,  7.30
2003/10/31, 01:06:28.28,  37.8120,  142.6190,  10.00,  7.00
2003/11/17, 06:43:06.80,  51.1460,  178.6500,  33.00,  7.80
2003/12/27, 16:00:59.45, -22.0150,  169.7660,  10.00,  7.30
2004/01/03, 16:23:21.02, -22.2530,  169.6830,  22.00,  7.10
2004/02/05, 21:05:02.84,  -3.6150,  135.5380,  16.60,  7.00
2004/02/07, 02:42:35.21,  -4.0030,  135.0230,  10.00,  7.30
2004/07/15, 04:27:14.73, -17.6560, -178.7600, 565.50,  7.10
2004/07/25, 14:35:19.06,  -2.4270,  103.9810, 582.10,  7.30
2004/09/05, 10:07:07.82,  33.0700,  136.6180,  14.00,  7.20
2004/09/05, 14:57:18.61,  33.1840,  137.0710,  10.00,  7.40
2004/10/09, 21:26:53.69,  11.4220,  -86.6650,  35.00,  7.00
2004/11/11, 21:26:41.15,  -8.1520,  124.8680,  10.00,  7.50
2004/11/15, 09:06:56.56,   4.6950,  -77.5080,  15.00,  7.20
2004/11/22, 20:26:23.90, -46.6760,  164.7210,  10.00,  7.10
2004/11/26, 02:25:03.31,  -3.6090,  135.4040,  10.00,  7.10
2004/11/28, 18:32:14.13,  43.0060,  145.1190,  39.00,  7.00
2004/12/23, 14:59:04.41, -49.3120,  161.3450,  10.00,  8.10
2004/12/26, 00:58:53.45,   3.2950,   95.9820,  30.00,  9.00
2004/12/26, 04:21:29.81,   6.9100,   92.9580,  39.20,  7.20
2005/02/05, 12:23:18.94,   5.2930,  123.3370, 525.00,  7.10
2005/03/02, 10:42:12.23,  -6.5270,  129.9330, 201.70,  7.10
2005/03/28, 16:09:36.53,   2.0850,   97.1080,  30.00,  8.60
2005/06/13, 22:44:33.90, -19.9870,  -69.1970, 115.60,  7.80
2005/06/15, 02:50:54.19,  41.2920, -125.9530,  16.00,  7.20
2005/07/24, 15:42:06.21,   7.9200,   92.1900,  16.00,  7.20
2005/08/16, 02:46:28.40,  38.2760,  142.0390,  36.00,  7.20
2005/09/09, 07:26:43.73,  -4.5390,  153.4740,  90.00,  7.60
2005/09/26, 01:55:37.67,  -5.6780,  -76.3980, 115.00,  7.50
2005/10/08, 03:50:40.80,  34.5390,   73.5880,  26.00,  7.60
2005/11/14, 21:38:51.42,  38.1070,  144.8960,  11.00,  7.00
2006/01/02, 06:10:49.76, -60.9570,  -21.6060,  13.00,  7.40
2006/01/02, 22:13:40.49, -19.9260, -178.1780, 582.90,  7.20
2006/01/27, 16:58:53.67,  -5.4730,  128.1310, 397.00,  7.60
2006/02/22, 22:19:07.80, -21.3240,   33.5830,  11.00,  7.00
2006/04/20, 23:25:02.15,  60.9490,  167.0890,  22.00,  7.60
2006/05/03, 15:26:40.29, -20.1870, -174.1230,  55.00,  8.00
2006/05/16, 10:39:23.34, -31.8100, -179.3070, 152.00,  7.40
2006/07/17, 08:19:26.68,  -9.2840,  107.4190,  20.00,  7.70
2006/08/20, 03:41:48.04, -61.0290,  -34.3710,  13.00,  7.00
2006/11/15, 11:14:13.57,  46.5920,  153.2660,  10.00,  8.30
2006/12/26, 12:26:21.14,  21.7990,  120.5470,  10.00,  7.10
2007/01/13, 04:23:21.16,  46.2430,  154.5240,  10.00,  8.10
2007/01/21, 11:27:45.06,   1.0650,  126.2820,  22.00,  7.50
2007/03/25, 00:40:01.61, -20.6170,  169.3570,  34.00,  7.10
2007/04/01, 20:39:58.71,  -8.4660,  157.0430,  24.00,  8.10
2007/08/01, 17:08:51.40, -15.5950,  167.6800, 120.00,  7.20
2007/08/08, 17:05:04.92,  -5.8590,  107.4190, 280.00,  7.50
2007/08/15, 23:40:57.89, -13.3860,  -76.6030,  39.00,  8.00
2007/09/02, 01:05:18.15, -11.6100,  165.7620,  35.00,  7.20
2007/09/12, 11:10:26.83,  -4.4380,  101.3670,  34.00,  8.50
2007/09/12, 23:49:03.72,  -2.6250,  100.8410,  35.00,  7.90
2007/09/13, 03:35:28.72,  -2.1300,   99.6270,  22.00,  7.00
2007/09/28, 13:38:57.88,  22.0130,  142.6680, 260.00,  7.50
